,movies,year,rating,genre,votes,gross
359,Mar adentro,2004,8.0,Biography,75235,2.09
360,Cinderella Man,2005,8.0,Biography,171325,61.65
361,Kal ho naa ho,2003,8.0,Comedy,60393,1.79
362,Mou gaan dou,2002,8.0,Crime,114933,0.17
363,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,Action,990680,305.41
364,Big Fish,2003,8.0,Adventure,402624,66.26
365,The Incredibles,2004,8.0,Animation,632992,261.44
366,Yeopgijeogin geunyeo,2001,8.0,Comedy,43853,NA
367,Dogville,2003,8.0,Crime,132376,1.53
368,Vizontele,2001,8.0,Comedy,31138,NA
369,Donnie Darko,2001,8.0,Drama,719492,1.48
370,"Monsters, Inc.",2001,8.0,Animation,781327,289.92
371,Magnolia,1999,8.0,Drama,280233,22.46
372,Dancer in the Dark,2000,8.0,Crime,98170,4.18
373,Mulholland Dr.,2001,8.0,Drama,305098,7.22
374,The Straight Story,1999,8.0,Biography,78145,6.20
375,Pâfekuto burû,1997,8.0,Animation,50474,0.78
376,Festen,1998,8.0,Drama,75449,1.65
377,Central do Brasil,1998,8.0,Drama,34432,5.60
378,The Iron Giant,1999,8.0,Animation,165108,23.16
379,Knockin' on Heaven's Door,1997,8.0,Action,26409,0.00
380,Sling Blade,1996,8.0,Drama,84659,24.48
381,Secrets & Lies,1996,8.0,Comedy,35302,13.42
382,Twelve Monkeys,1995,8.0,Mystery,560233,57.14
383,Kôkaku Kidôtai,1995,8.0,Animation,122481,0.52
384,The Nightmare Before Christmas,1993,8.0,Animation,281140,75.08
385,Groundhog Day,1993,8.0,Comedy,561302,70.91
386,Bound by Honor,1993,8.0,Crime,27756,4.50
387,Scent of a Woman,1992,8.0,Drama,246049,63.90
388,Aladdin,1992,8.0,Animation,354135,217.35
389,JFK,1991,8.0,Drama,135915,70.41
390,Beauty and the Beast,1991,8.0,Animation,405449,218.97
391,Dances with Wolves,1990,8.0,Adventure,230931,184.21
392,Rain Man,1988,8.0,Drama,458131,178.80
393,Akira,1988,8.0,Animation,154433,0.55
394,Der Himmel über Berlin,1987,8.0,Drama,61332,3.33
395,Au revoir les enfants,1987,8.0,Drama,29522,4.54
396,Tenkû no shiro Rapyuta,1986,8.0,Animation,140364,NA
397,The Terminator,1984,8.0,Action,770965,38.40
398,A Christmas Story,1983,8.0,Comedy,126972,20.61
399,Pink Floyd: The Wall,1982,8.0,Animation,73391,22.24
400,Gandhi,1982,8.0,Biography,212727,52.77
401,Kagemusha,1980,8.0,Drama,30327,NA
402,Being There,1979,8.0,Comedy,62980,30.18
403,Annie Hall,1977,8.0,Comedy,244701,39.20
404,All the President's Men,1976,8.0,Biography,97603,70.60
405,Jaws,1975,8.0,Adventure,526749,260.00
406,Dog Day Afternoon,1975,8.0,Biography,226660,50.00
407,Young Frankenstein,1974,8.0,Comedy,138136,86.30
408,Papillon,1973,8.0,Biography,117393,53.27
409,Paper Moon,1973,8.0,Comedy,40115,30.93
410,The Exorcist,1973,8.0,Horror,348814,232.91
411,Sleuth,1972,8.0,Mystery,43387,NA
412,The Last Picture Show,1971,8.0,Drama,39989,29.13
413,Fiddler on the Roof,1971,8.0,Drama,37231,80.50
414,Il conformista,1970,8.0,Drama,25146,0.54
415,Butch Cassidy and the Sundance Kid,1969,8.0,Biography,196082,102.31
416,Rosemary's Baby,1968,8.0,Drama,182476,NA
417,Planet of the Apes,1968,8.0,Adventure,160672,33.40
418,The Graduate,1967,8.0,Comedy,246271,104.95
419,Who's Afraid of Virginia Woolf?,1966,8.0,Drama,66609,NA
420,The Sound of Music,1965,8.0,Biography,194886,163.21
421,Doctor Zhivago,1965,8.0,Drama,67066,111.72
422,Per un pugno di dollari,1964,8.0,Action,187643,14.50
423,8½,1963,8.0,Drama,103944,0.05
424,Vivre sa vie: Film en douze tableaux,1962,8.0,Drama,25545,NA
425,The Hustler,1961,8.0,Drama,72920,NA
426,La dolce vita,1960,8.0,Comedy,62715,19.52
427,Rio Bravo,1959,8.0,Action,53479,12.54
428,Anatomy of a Murder,1959,8.0,Crime,56679,11.90
429,Touch of Evil,1958,8.0,Crime,95503,2.24
430,Cat on a Hot Tin Roof,1958,8.0,Drama,42855,17.57
431,The Killing,1956,8.0,Crime,77692,NA
432,The Night of the Hunter,1955,8.0,Crime,78357,0.65
433,La Strada,1954,8.0,Drama,55588,NA
434,Les diaboliques,1955,8.0,Crime,59265,NA
435,Stalag 17,1953,8.0,Comedy,49542,NA
436,Roman Holiday,1953,8.0,Comedy,122264,NA
437,A Streetcar Named Desire,1951,8.0,Drama,95311,8.00
438,Strangers on a Train,1951,8.0,Crime,118708,7.63
439,Kind Hearts and Coronets,1949,8.0,Comedy,33215,NA
440,Rope,1948,8.0,Crime,122271,NA
441,Out of the Past,1947,8.0,Crime,30887,NA
442,Brief Encounter,1945,8.0,Drama,33528,NA
443,Laura,1944,8.0,Drama,40680,4.36
444,The Best Years of Our Lives,1946,8.0,Drama,55302,23.65
445,Arsenic and Old Lace,1944,8.0,Comedy,63357,NA
446,The Maltese Falcon,1941,8.0,Film-Noir,144794,2.11
447,The Grapes of Wrath,1940,8.0,Drama,83566,0.06
448,The Wizard of Oz,1939,8.0,Adventure,362651,2.08
449,La règle du jeu,1939,8.0,Comedy,25453,NA
450,The Thin Man,1934,8.0,Comedy,25254,NA
451,All Quiet on the Western Front,1930,8.0,Drama,55428,3.27
452,Bronenosets Potemkin,1925,8.0,Drama,50640,0.05
453,Knives Out,2019,7.9,Comedy,280628,165.36
454,Call Me by Your Name,2017,7.9,Drama,186658,18.10
455,"I, Daniel Blake",2016,7.9,Drama,49227,0.26
456,Isle of Dogs,2018,7.9,Animation,126770,32.02
457,Dunkirk,2017,7.9,Action,512331,188.37
458,Hunt for the Wilderpeople,2016,7.9,Adventure,99454,5.20
459,Captain Fantastic,2016,7.9,Comedy,174981,5.88
460,Sing Street,2016,7.9,Comedy,80433,3.24
461,Thor: Ragnarok,2017,7.9,Action,545336,315.06
462,Little Women,2019,7.9,Drama,95539,108.10
463,Nightcrawler,2014,7.9,Crime,436084,32.38
464,Jojo Rabbit,2019,7.9,Comedy,198652,0.35
465,Arrival,2016,7.9,Drama,559475,100.55
466,Star Wars: The Force Awakens,2015,7.9,Action,833634,936.66
467,Before Midnight,2013,7.9,Drama,131866,8.11
468,Bir Zamanlar Anadolu'da,2011,7.9,Crime,38188,0.14
469,The Artist,2011,7.9,Comedy,223910,44.67
470,Edge of Tomorrow,2014,7.9,Action,575069,100.21
471,Amour,2012,7.9,Drama,89243,6.74
472,Straight Outta Compton,2015,7.9,Biography,172836,161.20
473,The Irishman,2019,7.9,Biography,279790,NA
474,Un prophète,2009,7.9,Crime,90672,2.08
475,Chugyeogja,2008,7.9,Action,54100,NA
476,Moon,2009,7.9,Drama,324254,5.01
477,Låt den rätte komma in,2008,7.9,Drama,200365,2.12
